,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL
169,J1923.3-2101,bzq,J1923.5-2104,bzq,J1923.3-2101
170,J1953.2+3249,PSR,,,
171,J1954.4+2838, x,J1954.3+2836,PSR,J1954.4+2838
172,J1958.1+2848,PSR,,,
173,J2000.2+6506,bzb,J2000.0+6508,bzb,J2000.2+6506
174,J2001.0+4352,,J2001.1+4351,agu,J2001.0+4352
175,J2009.4-4850,bzb,J2009.5-4849,bzb,J2009.4-4850
176,J2017.2+0602,bzu,J2017.3+0603,,J2017.2+0602
177,J2020.8+3649,PSR,J2021.0+3651,PSR,J2020.8+3649
178,J2021.5+4026,PSR,J2021.5+4026,PSR,J2021.5+4026
179,J2025.6-0736,bzq,J2025.6-0735,bzq,J2025.6-0736
180,J2027.5+3334,,J2027.6+3335,,J2027.5+3334
181,J2032.2+4122,PSR,J2032.2+4127,PSR,J2032.2+4122
182,J2055.5+2540,,J2055.8+2539,PSR,J2055.5+2540
183,J2056.1-4715,bzq,J2056.3-4714,bzq,J2056.1-4715
184,J2110.8+4608,,J2111.3+4607,,J2110.8+4608
185,J2124.7-3358,PSR,J2124.7-3358,PSR,J2124.7-3358
186,J2139.4-4238,bzb,J2139.3-4235,bzb,J2139.4-4238
187,J2143.2+1741,bzq,J2143.4+1742,bzq,J2143.2+1741
188,J2147.1+0931,bzq,J2147.2+0929,bzq,J2147.1+0931
189,J2157.5+3125,bzq,J2157.4+3129,bzq,J2157.5+3125
190,J2158.8-3014,bzb,J2158.8-3013,bzb,J2158.8-3014
191,J2202.4+4217,bzb,J2202.8+4216,bzb,J2202.4+4217
192,J2203.2+1731,bzq,J2203.5+1726,bzq,J2203.2+1731
193,J2207.0-5347,bzq,J2207.8-5344,bzq,J2207.0-5347
194,J2214.8+3002,,J2214.8+3002,,J2214.8+3002
195,J2229.0+6114,PSR,J2229.0+6114,PSR,J2229.0+6114
196,J2229.8-0829,bzq,J2229.7-0832,bzq,J2229.8-0829
197,J2232.4+1141,bzq,J2232.5+1144,bzq,J2232.4+1141
198,J2241.7-5239,,J2241.9-5236,,J2241.7-5239
199,J2254.0+1609,bzq,J2253.9+1608,BZQ,J2254.0+1609
200,J2302.9+4443,,J2302.8+4443,,J2302.9+4443
201,J2325.3+3959,bzb,J2325.2+3957,bzb,J2325.3+3959
202,J2327.3+0947,bzq,J2327.7+0943,bzq,J2327.3+0947
203,J2339.8-0530,,J2339.7-0531,,J2339.8-0530
204,J2345.5-1559,bzq,J2344.6-1554,bzq,J2345.5-1559
